en,ch
abtv,"The opposition Labour party voted to remain in the European Union, while the ruling conservative party was deeply divided over the issue.The subject calls for a vote for Labour."
betteroffout,None
brexitbetrayal,"Brexit negotiations Britain has been making compromises, from hard brexit to soft brexit. Many of the realities were different from the promises made during the referendum and were seen as a betrayal of brexit."
brexitchaos,"Social media users in Britain wrote of their disillusionment with the government’s efforts, and their confusion about the Brexit deal."
brexitmayhem,"From ""brexit stumble"" to ""brexit chaos"" to ""brexit riots"" in March 2019, the level of banter has escalated as the original brexit deadline approaches."
brexitshambles,"Social media users in Britain wrote of their disillusionment with the government’s efforts, and their confusion about the Brexit deal."
brexitvote,"Parliament failed to vote on the brexit deal, especially in late 2018 and early 2019, leading to a delay. On the subject of brexit."
chequers,"In July 2012, Theresa may struggled to unify the cabinet and put forward a brexit plan, known as the chequers plan (presented at chequers, the prime minister's country residence). The plan was met with huge opposition in the UK, prompting the resignations of David Davis, the brexit minister, Boris Johnson, the foreign secretary and other cabinet members of the ""hard brexit"" movement. Later, it failed to be approved by the eu, and was considered unpalatable both inside and outside the country."
corbyn,"Leader of the opposition Labour party. Labour generally supported remain, but Mr Corbyn's long standing on brexit has split the party. In December 2018, Mr Corbyn reached the height of his rhetoric when he called for a vote of no confidence in Mrs May."
daxit,None
dc,"The capital of the United States, Washington, DC."
dup,"Hardline brexiters who will hold out until the end. Although it has only 10 seats in parliament, compared with the 317 seats of the conservative party and the 262 seats of the Labour party, it is only a small party. However, the conservative party lost in the 2017 general election, and only the 10-seat DUP could retain the governing position with a slim majority. This led to the final stage of brexit being held back by the DUP of a hard brexit."
election2016,"Donald trump has been elected the 45th President of the United States, more than four months after Britain voted to leave the European Union. The two big international events in the same year are thought to represent a wave of anti-globalisation."
farage,"Name, longtime brexit advocate, good at speaking and debating. But he is notorious for his anti-immigrant rhetoric. Former leader of the United Kingdom independence party (ukip)."
fbpe,Support the eu back to fans!
finalsay,"The first referendum gave the people only a choice between leaving or staying, and did not make it clear how. The topic calls for a second referendum -- a referendum on the existing brexit deal -- and if so, why not? The people want a final decision."
frexit,The hypothetical French withdrawal from the European Union (EU).
ge17,"A turning point for brexit. Without the election, the conservatives would still have a majority in parliament, and the road to brexit would have been less bumpy. The election, called especially early, turned out to be a self-defeating gamble. Mrs May had a tough brexit plan at the time, and the subject was to remain in the eu. Now it seems reasonable to lose the election."
gowto,"Hard brexit. We are not afraid of leaving the eu without a deal, and we do not need to negotiate more terms with the eu. After leaving the eu, we will operate directly in accordance with WTO rules."
gtto,"The split between the conservatives has left the public dissatisfied, especially with the remain camp. Because the referendum was made by the conservatives, they are often blamed for the brexit mess, and the delay in a deal is largely due to infighting within the party, which sent the tories on their way."
honda,"In February 2019, Japan's Honda announced it would phase out a car plant in the UK, resulting in the loss of 3,500 jobs. Those who remain lament that this is a typical brexit price, while those who leave claim it has nothing to do with brexit. The topic is neutral, slightly leaning to remain in the eu."
indyref2,"Scotland voted no in a referendum on independence in September 2014. After the brexit vote, Scotland's local government quickly demanded a second referendum on independence, which would give the country a chance to remain in the European Union. Britain voted to leave the European Union, but 62 percent of voters in Scotland voted to remain. Scotland and England are not united on brexit."
ireland,"Ireland is divided into Northern Ireland (United Kingdom) and the republic of Ireland. The Irish republican army (IRA), which wanted to unite Ireland by force, saw Britain as the aggressor, and Northern Ireland's border conflict bore the brunt. Almost every year between 1970 and 1997, London was hit by a bomb that shocked the world. The violence largely stopped when the two sides signed a peace agreement in 1998. But brexit has reexposed Northern Ireland's historic problems. Britain regards the Irish border issue as a core interest and is locked in a stalemate with the eu in its negotiations with the eu."
labour,"The conservative party's old Nemesis, the overall remain position. Always wanted a general election to replace the conservatives in power."
leave,The only brexit issue that has lasted more than three years.
leaveeu,"The pro-brexit camp was also split into two factions before the referendum, with the official camp known as the ""vote leave"" - which focused on the ""economic"" and ""sovereignty"" CARDS. On the other side is the unofficial ""leave"" camp, which focuses on the ""immigration"" card and is more critical of alleged racism."
leavemeansleave,"After the referendum, the leave campaign almost returned to the field. But as the negotiations to leave the eu in 2018 slowly compromise, the leave camp is once again fighting to protect the fruits of the referendum."
leavewatch,Specifically to monitor whether brexiteers fulfilled their promises during the referendum campaign.
maga,Trump's campaign slogan in the 2016 us election. There is a high degree of overlap between brexit and trump supporters.
marchtoleave,"In response to hundreds of thousands of protests by remain campaigners, leave campaigners have called on supporters of brexit to join them in defending brexit from betrayal. New topics that will only appear in March 2019."
maymustgo,Brexiteers say Mrs May has turned her back on the referendum result and the real brexit and must go.
merkel,"Chancellor of Germany. Merkel is seen by brexiteers as the embodiment of the eu and foreign powers. Interestingly, most references to merkel refer to brexit."
nexit,Dutch withdrawal from the European Union.
nhs,"One of the top domestic issues for the British public. Before the referendum, the leave campaign claimed that the huge eu membership fee could be saved for the health system. But in fact, there are a large number of eu immigrants in the doctors and nurses, as well as a large number of medicines imported from the eu. After the brexit, the health system will be severely damaged."
no2eu,None
nobrexit,"The issue emerged after the referendum, saying it would not accept the result."
noconfidence,"Mainly in late 2018 and early 2019. A vote of no confidence in Theresa may, the leader of the conservative party, and an opposition vote of no confidence in her government, failed both times, but the score was close and may was in danger."
nodeal,"Hardcore brexit slogan, no deal, no deal, and think no deal is a good thing."
nodealbrexit,"Unlike ""no deal"", it is not a rallying cry but a neutral topic, discussing the possibility of a ""no deal"" brexit."
notbuyingit,The deal is not going down well with the remain camp.
nowaymay,Those who want to remain say Mrs May has ignored the public's call to leave the eu. No way!
obama,"The then US President barack Obama visited the UK before the referendum, saying brexit would affect us interests. British opinion polls show that as many as 60 percent of respondents believe Obama should not interfere in Britain's internal affairs, which only makes voters more inclined to leave the eu."
peoplesvote,"Talk of staying in the eu. The remain campaign claims to represent the people and demands a second referendum. The question is, who are the people?"
peoplesvotemarch,"The sub-topic of ""people's vote"" refers specifically to the organized march."
putittothepeople,"Distrusting parliament and the government and demanding a second referendum. Although the original date of brexit (February 2019) is approaching, the new topic has emerged."
projectfear,"The brexiters used it more. Before the vote, the business secretary said the UK economy would contract by 3.6% in two years' time, after saying ""brexit would pose an all-sided risk to our economy and society"". In fact, the British economy has not shown much weakness in two years. The comments were dismissed by brexiteers as a threat to block brexit. Unfortunately, even the well-founded warnings were often criticized as ""scare tactics"", which led to the deviation of people's judgment on brexit."
racism,"Brexiteers' demands included restrictions on immigration, some of which developed into racial discrimination, and were criticised by remain campaigners."
regrexit,"Those who voted to leave the eu but regretted it immediately emerged mainly in the days after the referendum. It does exist, on a limited scale, but the individual cases have been widely reported by the media, which triggered a war of words between both sides of the brexit and remain campaigns, and the topic is rather neutral."
remain,For more than three years.
remainernow,Voted to leave the eu and now backs away from it. This wave of regret is much larger and longer lasting than the one that followed the referendum. It began to emerge after the brexit negotiations stalled in the second half of 2017. The remain issue.
revokea50,"The issue, which erupted as the brexit date approached, was a revolt against the looming brexit. Talk of staying in the eu."
scotland,"Britain is actually a United Kingdom, of which Scotland is a member. The impact of brexit on the interests of Scotland, the independence of the voice thus renewed."
